Date/Time,Regulatory Changes,Compliance Status,Compliance Costs
2012-01-01,New Regulation,Compliant,3281.685306168008
2012-01-02,Amendment,Non-compliant,2037.2722811030064
2012-01-03,Amendment,Non-compliant,629.8917775611384
2012-01-04,New Regulation,Non-compliant,2277.898350604848
2012-01-05,Amendment,Non-compliant,4687.163688109401
2012-01-06,New Regulation,Compliant,3318.3549264823964
2012-01-07,No change,Compliant,877.8006638190573
2012-01-08,Amendment,Non-compliant,4482.471260277616
2012-01-09,New Regulation,Non-compliant,1709.9368220368167
2012-01-10,New Regulation,Compliant,1596.9627188722734
2012-01-11,New Regulation,Non-compliant,1836.9093595114437
2012-01-12,No change,Non-compliant,3097.4100625668084
2012-01-13,No change,Non-compliant,2951.0964204528946
2012-01-14,New Regulation,Non-compliant,2711.361895802968
2012-01-15,Amendment,Non-compliant,3728.9158858068217
2012-01-16,New Regulation,Non-compliant,1924.4197910073156
2012-01-17,No change,Compliant,4019.29034707594
2012-01-18,No change,Non-compliant,1288.9475527036961
2012-01-19,Amendment,Compliant,4021.7935508465416
2012-01-20,New Regulation,Compliant,3487.1454736262726
2012-01-21,Amendment,Compliant,3574.4373929641392
2012-01-22,No change,Non-compliant,2666.99028707267
2012-01-23,New Regulation,Non-compliant,3501.5068970638913
2012-01-24,New Regulation,Non-compliant,859.0867095175583
2012-01-25,Amendment,Compliant,4331.980026722153
2012-01-26,Amendment,Compliant,749.962550694407
2012-01-27,Amendment,Non-compliant,1169.3367944217387
2012-01-28,No change,Non-compliant,3095.5536882375636
2012-01-29,No change,Compliant,3827.351549555112
2012-01-30,No change,Compliant,843.1320395581406
2012-01-31,New Regulation,Compliant,4643.441663550439
2012-02-01,New Regulation,Non-compliant,4881.234419603144
2012-02-02,Amendment,Compliant,3226.7757785347
2012-02-03,Amendment,Compliant,2665.5955491957643
2012-02-04,No change,Compliant,3836.2773752588737
2012-02-05,Amendment,Non-compliant,1977.6080854724244
2012-02-06,No change,Non-compliant,2719.689953472979
2012-02-07,No change,Non-compliant,4622.679620664806
2012-02-08,New Regulation,Compliant,4800.449413586901
2012-02-09,No change,Compliant,4671.811022230333
2012-02-10,New Regulation,Compliant,1681.0163013372808
2012-02-11,No change,Compliant,1546.1106809754353
2012-02-12,Amendment,Non-compliant,1839.490276681914
2012-02-13,New Regulation,Compliant,2485.9000057480707
2012-02-14,No change,Compliant,1913.753357563836
2012-02-15,No change,Non-compliant,2183.957580825761
2012-02-16,New Regulation,Compliant,3292.866284543418
2012-02-17,Amendment,Compliant,3931.3655469228916
2012-02-18,New Regulation,Compliant,3810.0118922056267
2012-02-19,New Regulation,Non-compliant,4164.906051856184
2012-02-20,Amendment,Compliant,644.8298144693098
2012-02-21,Amendment,Non-compliant,714.8020535544024
2012-02-22,Amendment,Compliant,4052.223323098832
2012-02-23,New Regulation,Non-compliant,2898.8547004608436
2012-02-24,Amendment,Non-compliant,3101.633031929541
2012-02-25,New Regulation,Non-compliant,736.6408709646969
2012-02-26,New Regulation,Compliant,1648.912105270719
2012-02-27,New Regulation,Compliant,3372.5943719846496
2012-02-28,Amendment,Non-compliant,4366.318505498042
2012-02-29,Amendment,Non-compliant,4626.425287316311
2012-03-01,New Regulation,Compliant,2751.887731257868
2012-03-02,New Regulation,Non-compliant,2954.6340473218893
2012-03-03,Amendment,Compliant,4248.723339810459
2012-03-04,New Regulation,Compliant,2919.310703363096
2012-03-05,No change,Non-compliant,2825.8633649179283
2012-03-06,New Regulation,Non-compliant,4572.878169924292
2012-03-07,No change,Compliant,4054.6972447514604
2012-03-08,No change,Compliant,4590.826368625825
2012-03-09,New Regulation,Compliant,1482.111746515192
2012-03-10,New Regulation,Non-compliant,2859.6896899491053
2012-03-11,New Regulation,Compliant,4291.124578670111
2012-03-12,No change,Non-compliant,1000.1652236019902
2012-03-13,Amendment,Non-compliant,4075.979694322828
2012-03-14,No change,Compliant,1323.3802253669126
2012-03-15,No change,Non-compliant,4136.534397433945
2012-03-16,No change,Non-compliant,3254.0042190059066
2012-03-17,Amendment,Non-compliant,1369.5619616819022
2012-03-18,No change,Non-compliant,2630.093806997605
2012-03-19,No change,Compliant,3568.573249073472
2012-03-20,New Regulation,Compliant,3352.338053975941
2012-03-21,Amendment,Non-compliant,2422.6123830426695
2012-03-22,No change,Non-compliant,4547.149380144171
2012-03-23,No change,Non-compliant,2836.6853651952993
2012-03-24,New Regulation,Non-compliant,2776.4028433790977
2012-03-25,Amendment,Non-compliant,780.1276547365442
2012-03-26,Amendment,Compliant,4649.541754089367
2012-03-27,New Regulation,Compliant,1297.0245590526783
2012-03-28,No change,Compliant,2877.551120464494
2012-03-29,New Regulation,Compliant,4116.054206301395
2012-03-30,Amendment,Non-compliant,1469.5397463003949
2012-03-31,Amendment,Non-compliant,2873.179804868785
2012-04-01,No change,Compliant,1583.0820915050338
2012-04-02,No change,Compliant,3918.627490099603
2012-04-03,Amendment,Compliant,3039.535255429178
2012-04-04,Amendment,Non-compliant,4351.891371778145
2012-04-05,New Regulation,Non-compliant,4525.511012948223
2012-04-06,New Regulation,Non-compliant,3419.3006710042914
2012-04-07,No change,Compliant,3764.26060771525
2012-04-08,New Regulation,Compliant,2971.4904494908865
2012-04-09,Amendment,Non-compliant,2229.929298803223
2012-04-10,New Regulation,Non-compliant,3416.5306535937557
2012-04-11,New Regulation,Non-compliant,4587.29880569298
2012-04-12,Amendment,Compliant,2375.061711941471
2012-04-13,New Regulation,Non-compliant,1914.845118682079
2012-04-14,Amendment,Non-compliant,2247.9662234865837
2012-04-15,New Regulation,Compliant,2459.289335952198
2012-04-16,Amendment,Non-compliant,831.024630399723
2012-04-17,Amendment,Non-compliant,2742.988281957475
2012-04-18,No change,Non-compliant,2724.4141162252686
2012-04-19,No change,Non-compliant,3147.997224382354
2012-04-20,New Regulation,Compliant,2132.6901371209915
2012-04-21,No change,Non-compliant,3258.9841818001537
2012-04-22,New Regulation,Compliant,4451.973396233913
2012-04-23,New Regulation,Non-compliant,4799.619457228239
2012-04-24,New Regulation,Compliant,3126.2549726347233
2012-04-25,New Regulation,Non-compliant,691.6592928664089
2012-04-26,New Regulation,Non-compliant,4861.56198770199
2012-04-27,New Regulation,Compliant,3676.3792740331533
2012-04-28,No change,Non-compliant,2011.8364184914346
2012-04-29,No change,Non-compliant,1162.2096543367552
2012-04-30,No change,Compliant,1145.3837550632372
2012-05-01,Amendment,Non-compliant,1254.8498276282123
2012-05-02,Amendment,Non-compliant,705.0763472621913
2012-05-03,New Regulation,Non-compliant,4559.693848938102
2012-05-04,Amendment,Non-compliant,2933.4570477230136
2012-05-05,No change,Non-compliant,3649.8173572122673
2012-05-06,New Regulation,Compliant,4226.488291707384
2012-05-07,New Regulation,Compliant,4061.934528499401
2012-05-08,No change,Non-compliant,4471.7253067797865
2012-05-09,New Regulation,Non-compliant,4852.645801362283
2012-05-10,Amendment,Compliant,2475.817766338728
2012-05-11,New Regulation,Compliant,4776.509600007757
2012-05-12,New Regulation,Compliant,3754.8047675426737
2012-05-13,No change,Compliant,818.0068563863531
2012-05-14,Amendment,Compliant,3568.024045455554
2012-05-15,Amendment,Compliant,3590.224968221819
2012-05-16,New Regulation,Non-compliant,4576.372537066372
2012-05-17,Amendment,Non-compliant,2178.1945961154142
2012-05-18,Amendment,Non-compliant,3132.10175122318
2012-05-19,Amendment,Non-compliant,554.8439795528413
2012-05-20,Amendment,Non-compliant,1994.338589816012
2012-05-21,Amendment,Compliant,780.0967677145143
2012-05-22,New Regulation,Compliant,2848.4283774420364
2012-05-23,New Regulation,Compliant,4178.5144272812895
2012-05-24,Amendment,Compliant,1428.9921145808103
2012-05-25,No change,Compliant,2873.4847050100034
2012-05-26,Amendment,Compliant,1418.0388642984517
2012-05-27,No change,Non-compliant,1043.0981053080818
2012-05-28,New Regulation,Non-compliant,2799.485563704541
2012-05-29,New Regulation,Compliant,856.1687942737743
2012-05-30,New Regulation,Non-compliant,3143.0958401209523
2012-05-31,Amendment,Compliant,641.0185730452682
2012-06-01,New Regulation,Non-compliant,980.2173734076898
2012-06-02,Amendment,Compliant,2974.9886846931104
2012-06-03,Amendment,Compliant,3161.333358045112
2012-06-04,New Regulation,Non-compliant,630.4411854219113
2012-06-05,New Regulation,Compliant,3080.195546007013
2012-06-06,New Regulation,Non-compliant,4273.261363956366
2012-06-07,No change,Non-compliant,3750.4227978227927
2012-06-08,No change,Compliant,1090.3329676435937
2012-06-09,Amendment,Compliant,3166.135914036267
2012-06-10,No change,Compliant,3525.1362503339606
2012-06-11,No change,Non-compliant,667.540407885313
2012-06-12,New Regulation,Non-compliant,4349.064509076302
2012-06-13,New Regulation,Compliant,4578.2032878042355
2012-06-14,Amendment,Compliant,4327.035230130164
2012-06-15,Amendment,Compliant,4210.841605951009
2012-06-16,No change,Compliant,3852.34339307402
2012-06-17,Amendment,Compliant,3350.4441407688205
2012-06-18,New Regulation,Compliant,3553.8215224471337
2012-06-19,New Regulation,Compliant,4128.778820007424
2012-06-20,No change,Non-compliant,3481.2430626258706
2012-06-21,New Regulation,Non-compliant,1974.7713050693194
2012-06-22,New Regulation,Compliant,2191.824959726093
2012-06-23,New Regulation,Compliant,4536.758607675314
2012-06-24,New Regulation,Non-compliant,577.0493860872285
2012-06-25,New Regulation,Compliant,3644.692615599269
2012-06-26,No change,Non-compliant,4796.498985913469
2012-06-27,Amendment,Non-compliant,3678.0267648108816
2012-06-28,No change,Compliant,4972.60394704302
2012-06-29,No change,Non-compliant,3593.9520748774885
2012-06-30,No change,Non-compliant,654.6336314758748
2012-07-01,Amendment,Compliant,4221.544467411156
2012-07-02,New Regulation,Compliant,1780.834603726936
2012-07-03,Amendment,Non-compliant,2507.257515489984
2012-07-04,No change,Compliant,1904.4136215818694
2012-07-05,Amendment,Non-compliant,1708.4934779435575
2012-07-06,No change,Non-compliant,2441.3256665140343
2012-07-07,New Regulation,Non-compliant,2204.3815179830317
2012-07-08,No change,Non-compliant,3350.0236182916524
2012-07-09,New Regulation,Non-compliant,4159.180404443798
2012-07-10,No change,Non-compliant,1836.8989393425834
2012-07-11,No change,Compliant,1461.7451876990785
2012-07-12,Amendment,Compliant,3501.02871891654
2012-07-13,New Regulation,Compliant,3516.4402962385175
2012-07-14,No change,Compliant,4555.090576787773
2012-07-15,New Regulation,Non-compliant,571.7555890398988
2012-07-16,Amendment,Non-compliant,4338.682979524295
2012-07-17,New Regulation,Non-compliant,2844.509778267606
2012-07-18,Amendment,Non-compliant,3295.8594012744447
2012-07-19,Amendment,Non-compliant,911.1714825263665
2012-07-20,New Regulation,Compliant,2446.7671979242054
2012-07-21,New Regulation,Compliant,1522.8608325733571
2012-07-22,No change,Compliant,1644.0126353712908
2012-07-23,Amendment,Non-compliant,2768.4280160421235
2012-07-24,New Regulation,Non-compliant,4156.051776814005
2012-07-25,Amendment,Compliant,3847.0141856518526
2012-07-26,No change,Non-compliant,3159.499815886792
2012-07-27,New Regulation,Non-compliant,2927.3818673906017
2012-07-28,New Regulation,Compliant,2422.877194555205
2012-07-29,Amendment,Non-compliant,4877.194881026238
2012-07-30,New Regulation,Compliant,3020.86649405405
2012-07-31,New Regulation,Compliant,1642.8487924049996
2012-08-01,Amendment,Compliant,1535.408564180178
2012-08-02,No change,Compliant,3251.0886384881383
2012-08-03,New Regulation,Non-compliant,2852.7238728991792
2012-08-04,No change,Non-compliant,534.6401132962076
2012-08-05,Amendment,Non-compliant,4235.294174881007
2012-08-06,Amendment,Compliant,3668.5505940459557
2012-08-07,No change,Non-compliant,3478.231803551466
2012-08-08,New Regulation,Compliant,809.5129596394653
2012-08-09,New Regulation,Non-compliant,2129.251325776211
2012-08-10,Amendment,Non-compliant,4709.220173297538
2012-08-11,Amendment,Compliant,4381.651586036137
2012-08-12,New Regulation,Non-compliant,1784.9432204129005
2012-08-13,No change,Compliant,1206.7649784461241
2012-08-14,Amendment,Compliant,2520.895807258597
2012-08-15,New Regulation,Non-compliant,2101.2367040044737
2012-08-16,New Regulation,Non-compliant,3570.0186951769597
2012-08-17,New Regulation,Non-compliant,4848.956645379439
2012-08-18,No change,Non-compliant,2133.5065249215268
2012-08-19,New Regulation,Compliant,780.008776935089
2012-08-20,Amendment,Compliant,4539.263037540733
2012-08-21,No change,Non-compliant,670.7737860794186
2012-08-22,Amendment,Non-compliant,4787.446537189999
2012-08-23,No change,Non-compliant,3490.607426040679
2012-08-24,New Regulation,Compliant,4737.601437988771
2012-08-25,New Regulation,Non-compliant,1398.4685899204023
2012-08-26,No change,Compliant,683.1490786421343
2012-08-27,New Regulation,Non-compliant,2696.944902244213
2012-08-28,Amendment,Non-compliant,2527.8053655655635
2012-08-29,New Regulation,Compliant,1991.7152296469728
2012-08-30,No change,Compliant,4809.454134749139
2012-08-31,Amendment,Non-compliant,4201.626794726445
2012-09-01,Amendment,Compliant,3477.11909619017
2012-09-02,No change,Compliant,1232.8623123702248
2012-09-03,Amendment,Non-compliant,3804.455336983361
2012-09-04,Amendment,Compliant,3771.556046148758
2012-09-05,No change,Compliant,2412.8067812720337
2012-09-06,Amendment,Non-compliant,4661.536593713062
2012-09-07,New Regulation,Non-compliant,1251.400470030547
2012-09-08,New Regulation,Compliant,1703.0190308524893
2012-09-09,No change,Non-compliant,784.5095266278514
2012-09-10,Amendment,Compliant,4079.5293117991437
2012-09-11,Amendment,Compliant,3297.9172374292875
2012-09-12,New Regulation,Compliant,1917.2313755656228
2012-09-13,New Regulation,Non-compliant,1237.1614861744192
2012-09-14,No change,Compliant,680.6649651293317
2012-09-15,New Regulation,Compliant,1250.3550588167145
2012-09-16,No change,Compliant,2539.780908519462
2012-09-17,Amendment,Non-compliant,1612.2963605477278
2012-09-18,New Regulation,Non-compliant,1665.4197984438501
2012-09-19,Amendment,Non-compliant,4440.093650004715
2012-09-20,New Regulation,Compliant,2818.119530574953
2012-09-21,New Regulation,Compliant,3781.633879077866
2012-09-22,Amendment,Non-compliant,660.699270626644
2012-09-23,Amendment,Compliant,2143.235100551129
2012-09-24,New Regulation,Compliant,2656.2620632794883
2012-09-25,No change,Compliant,1338.8758484458313
2012-09-26,New Regulation,Compliant,1040.861936504924
2012-09-27,New Regulation,Non-compliant,4416.367003249292
2012-09-28,New Regulation,Non-compliant,4727.4423219490845
2012-09-29,Amendment,Non-compliant,854.6301412043333
2012-09-30,Amendment,Compliant,2070.584206440994
2012-10-01,New Regulation,Compliant,4812.2853266501315
2012-10-02,Amendment,Non-compliant,874.227799096092
2012-10-03,Amendment,Non-compliant,3396.386177954268
2012-10-04,No change,Non-compliant,4874.996169351525
2012-10-05,No change,Compliant,4902.006508616186
2012-10-06,Amendment,Non-compliant,2620.5049890668447
2012-10-07,Amendment,Compliant,1232.3709850207129
2012-10-08,Amendment,Non-compliant,1409.3794173984747
2012-10-09,No change,Compliant,4503.206278059775
2012-10-10,Amendment,Compliant,4602.573519483812
2012-10-11,New Regulation,Non-compliant,3235.4583974309962
2012-10-12,No change,Compliant,3947.793797614601
2012-10-13,Amendment,Compliant,3829.690631616837
2012-10-14,Amendment,Non-compliant,3478.1971909509816
2012-10-15,New Regulation,Non-compliant,4222.746296923726
2012-10-16,New Regulation,Non-compliant,3584.329803681445
2012-10-17,Amendment,Compliant,2903.010375863747
2012-10-18,Amendment,Compliant,1566.3036316467055
2012-10-19,Amendment,Non-compliant,3847.4966485337854
2012-10-20,New Regulation,Non-compliant,2630.470405272235
2012-10-21,Amendment,Compliant,1826.5625780337919
2012-10-22,Amendment,Non-compliant,4108.758240837989
2012-10-23,Amendment,Non-compliant,3635.2112015886273
2012-10-24,No change,Compliant,4718.02803406115
2012-10-25,Amendment,Compliant,1244.4873800849498
2012-10-26,No change,Non-compliant,3421.351780864219
2012-10-27,New Regulation,Compliant,1599.077606396792
2012-10-28,New Regulation,Compliant,4566.123433857388
2012-10-29,No change,Non-compliant,947.7473641547706
2012-10-30,No change,Non-compliant,3452.7281290019473
2012-10-31,No change,Non-compliant,4059.885746876135
2012-11-01,Amendment,Compliant,2097.1302816411826
2012-11-02,Amendment,Non-compliant,4793.621357227142
2012-11-03,New Regulation,Compliant,4328.288080637168
2012-11-04,New Regulation,Non-compliant,1825.7823485820652
2012-11-05,New Regulation,Compliant,533.934917221994
2012-11-06,New Regulation,Compliant,1834.9572925312739
2012-11-07,No change,Non-compliant,1765.8971171183414
2012-11-08,Amendment,Compliant,4504.84073375409
2012-11-09,No change,Non-compliant,4852.045302146364
2012-11-10,New Regulation,Non-compliant,816.9799368661716
2012-11-11,New Regulation,Compliant,2620.8267283999253
2012-11-12,New Regulation,Compliant,2967.493993384081
2012-11-13,Amendment,Compliant,918.1024759836648
2012-11-14,No change,Non-compliant,2198.7396911188516
2012-11-15,New Regulation,Non-compliant,1926.8708782682777
2012-11-16,Amendment,Non-compliant,2912.253594471893
2012-11-17,Amendment,Non-compliant,3475.359048793721
2012-11-18,No change,Non-compliant,3665.6829972345495
2012-11-19,New Regulation,Non-compliant,1115.397606260244
2012-11-20,No change,Compliant,4158.264658750796
2012-11-21,No change,Non-compliant,3553.439134058415
2012-11-22,No change,Non-compliant,4500.837125360238
2012-11-23,No change,Non-compliant,2522.012267459453
2012-11-24,No change,Non-compliant,4522.5039322498615
2012-11-25,No change,Compliant,4395.983550602339
2012-11-26,New Regulation,Compliant,2472.841995616713
2012-11-27,New Regulation,Compliant,2215.1449188184038
2012-11-28,New Regulation,Non-compliant,4697.654067366156
2012-11-29,Amendment,Non-compliant,3718.2413054229696
2012-11-30,New Regulation,Non-compliant,4677.10405897134
2012-12-01,New Regulation,Compliant,4086.386505031159
2012-12-02,Amendment,Non-compliant,3241.8384768113647
2012-12-03,No change,Non-compliant,1021.3374965169403
2012-12-04,No change,Compliant,1811.6630266059433
2012-12-05,No change,Compliant,4859.7908319427615
2012-12-06,New Regulation,Non-compliant,1937.39944421392
2012-12-07,No change,Compliant,919.6469140341685
2012-12-08,No change,Non-compliant,3683.990101636939
2012-12-09,New Regulation,Non-compliant,3803.019145446579
2012-12-10,New Regulation,Compliant,1784.5597412921784
2012-12-11,Amendment,Non-compliant,1839.5239070583668
2012-12-12,Amendment,Compliant,2610.0184347895274
2012-12-13,No change,Compliant,598.05027393015
2012-12-14,Amendment,Non-compliant,4051.953546625236
2012-12-15,No change,Compliant,1926.899542733565
2012-12-16,Amendment,Non-compliant,4341.9339590088985
2012-12-17,New Regulation,Non-compliant,4111.836897200152
2012-12-18,No change,Compliant,3476.309149034524
2012-12-19,No change,Compliant,1961.9369019467993
2012-12-20,No change,Compliant,2823.424527475265
2012-12-21,New Regulation,Non-compliant,2501.7316591908157
2012-12-22,Amendment,Non-compliant,2024.968488119034
2012-12-23,New Regulation,Non-compliant,4316.613301864301
2012-12-24,No change,Non-compliant,2675.7818355994937
2012-12-25,New Regulation,Non-compliant,4247.253940087159
2012-12-26,New Regulation,Non-compliant,973.4831336382092
2012-12-27,Amendment,Non-compliant,1134.6115487015109
2012-12-28,Amendment,Compliant,4897.941373008395
2012-12-29,No change,Non-compliant,3144.958081727403
2012-12-30,New Regulation,Non-compliant,2793.9635307457206
2012-12-31,Amendment,Compliant,2854.2022841485027
2013-01-01,No change,Non-compliant,1468.7094831478692
2013-01-02,No change,Non-compliant,3734.1677727588785
2013-01-03,No change,Compliant,881.5128067838946
2013-01-04,Amendment,Non-compliant,3079.9567089636043
2013-01-05,Amendment,Compliant,3068.4595846365564
2013-01-06,Amendment,Non-compliant,4613.847908600799
2013-01-07,No change,Non-compliant,2867.8226454718715
2013-01-08,Amendment,Compliant,1116.7821318838078
2013-01-09,Amendment,Compliant,3077.3896666167316
2013-01-10,Amendment,Non-compliant,910.9743996439956
2013-01-11,Amendment,Non-compliant,1417.0722588496476
2013-01-12,New Regulation,Compliant,639.9886288433726
2013-01-13,New Regulation,Non-compliant,2809.8211210677423
2013-01-14,No change,Compliant,880.3967688210756
2013-01-15,No change,Compliant,2612.2747033909804
2013-01-16,Amendment,Compliant,4698.252658958649
2013-01-17,No change,Non-compliant,3738.9263585869944
2013-01-18,New Regulation,Non-compliant,848.3525340138187
2013-01-19,New Regulation,Non-compliant,1508.9441549397943
2013-01-20,Amendment,Compliant,3531.480889520454
2013-01-21,Amendment,Non-compliant,4526.158374608827
2013-01-22,New Regulation,Compliant,648.1336404377919
2013-01-23,Amendment,Compliant,4156.030092742672
2013-01-24,Amendment,Non-compliant,3028.162461522389
2013-01-25,No change,Non-compliant,2957.410963833767
2013-01-26,New Regulation,Compliant,4810.159322390111
2013-01-27,No change,Non-compliant,3864.400756685479
2013-01-28,No change,Compliant,4325.534906252504
2013-01-29,No change,Non-compliant,2092.980062951
2013-01-30,No change,Compliant,2994.638183727844
2013-01-31,No change,Non-compliant,3269.3255484249685
2013-02-01,New Regulation,Compliant,1947.1277316310927
2013-02-02,New Regulation,Non-compliant,3066.116562263298
2013-02-03,New Regulation,Compliant,1564.949207658712
2013-02-04,New Regulation,Compliant,1145.190519807078
2013-02-05,Amendment,Compliant,2182.866166747997
2013-02-06,No change,Compliant,3826.8033293589665
2013-02-07,New Regulation,Compliant,4622.842166332494
2013-02-08,Amendment,Compliant,2559.7132317420464
2013-02-09,New Regulation,Non-compliant,3392.7065972394425
2013-02-10,Amendment,Compliant,963.6670893879522
2013-02-11,No change,Compliant,4570.086913485479
2013-02-12,New Regulation,Non-compliant,3058.7189610647047
2013-02-13,Amendment,Non-compliant,4011.5221143132067
2013-02-14,New Regulation,Compliant,4074.9854041462722
2013-02-15,New Regulation,Non-compliant,1654.1623686564767
2013-02-16,Amendment,Non-compliant,2881.285039318323
2013-02-17,No change,Compliant,4822.158882024399
2013-02-18,New Regulation,Compliant,903.355451693725
2013-02-19,No change,Non-compliant,3573.7245411330355
2013-02-20,New Regulation,Non-compliant,4830.188351158274
2013-02-21,New Regulation,Non-compliant,1852.5969862430998
2013-02-22,Amendment,Non-compliant,4376.515646319567
2013-02-23,New Regulation,Non-compliant,4701.458954337222
2013-02-24,New Regulation,Non-compliant,3861.8879422767127
2013-02-25,No change,Compliant,1540.9774053813123
2013-02-26,Amendment,Non-compliant,2003.0032347196725
2013-02-27,Amendment,Compliant,661.1418248797883
2013-02-28,No change,Compliant,4241.539554104098
2013-03-01,Amendment,Non-compliant,4323.25033929986
2013-03-02,Amendment,Compliant,3347.1963948478674
2013-03-03,No change,Non-compliant,2086.375330687331
2013-03-04,Amendment,Compliant,845.6496243796424
2013-03-05,Amendment,Non-compliant,3888.7592446170925
2013-03-06,No change,Compliant,3769.367871244653
2013-03-07,New Regulation,Non-compliant,4606.711347825055
2013-03-08,Amendment,Compliant,3787.3940945241297
2013-03-09,New Regulation,Non-compliant,4229.127240098009
2013-03-10,New Regulation,Compliant,3856.795780567998
2013-03-11,Amendment,Compliant,3338.092347405424
2013-03-12,Amendment,Compliant,2421.3487738595413
2013-03-13,New Regulation,Non-compliant,4559.52788889025
2013-03-14,Amendment,Non-compliant,3429.358573583614
2013-03-15,No change,Non-compliant,2292.5989488465907
2013-03-16,Amendment,Non-compliant,875.6118283188075
2013-03-17,No change,Non-compliant,1808.1718515697196
2013-03-18,New Regulation,Compliant,2946.7703067357415
2013-03-19,New Regulation,Non-compliant,1740.3591650728754
2013-03-20,No change,Non-compliant,1495.5590656305594
2013-03-21,New Regulation,Compliant,2873.2708133953124
2013-03-22,New Regulation,Non-compliant,1264.1915565308057
2013-03-23,New Regulation,Non-compliant,4101.845284962966
2013-03-24,No change,Non-compliant,2679.656681041961
2013-03-25,No change,Non-compliant,3082.3824828319257
2013-03-26,New Regulation,Non-compliant,1163.2247041880685
2013-03-27,No change,Non-compliant,1960.5935103321533
2013-03-28,No change,Compliant,2345.403574675188
2013-03-29,New Regulation,Non-compliant,4136.957737324263
2013-03-30,Amendment,Non-compliant,3965.7178538876865
2013-03-31,New Regulation,Non-compliant,1503.3986365445662
2013-04-01,Amendment,Compliant,3272.8058672315346
2013-04-02,New Regulation,Compliant,1595.553609973989
2013-04-03,No change,Compliant,4947.112200606104
2013-04-04,New Regulation,Compliant,4784.5574515889175
2013-04-05,No change,Non-compliant,3034.691242342792
2013-04-06,New Regulation,Compliant,3645.0615735236433
2013-04-07,New Regulation,Non-compliant,4106.436719938903
2013-04-08,Amendment,Non-compliant,3744.4928902020674
2013-04-09,New Regulation,Non-compliant,3649.229109870894
2013-04-10,New Regulation,Compliant,4813.493035772876
2013-04-11,Amendment,Non-compliant,3184.052478382775
2013-04-12,New Regulation,Compliant,3363.3620231857503
2013-04-13,No change,Non-compliant,4321.709376971816
2013-04-14,No change,Compliant,3514.508905362831
2013-04-15,Amendment,Compliant,3798.196799078851
2013-04-16,New Regulation,Non-compliant,1553.759087884891
2013-04-17,Amendment,Non-compliant,2170.701158517819
2013-04-18,No change,Non-compliant,1162.8560557035185
2013-04-19,New Regulation,Compliant,2775.944490506625
2013-04-20,New Regulation,Compliant,2550.7733030611084
2013-04-21,Amendment,Compliant,4987.232664257556
2013-04-22,Amendment,Non-compliant,3250.438937669941
2013-04-23,Amendment,Compliant,4039.001704374905
2013-04-24,Amendment,Non-compliant,2003.066018409444
2013-04-25,New Regulation,Compliant,4241.953991042585
2013-04-26,New Regulation,Compliant,3267.8823491945755
2013-04-27,Amendment,Compliant,3636.4654921929728
2013-04-28,No change,Non-compliant,1824.9385007725448
2013-04-29,No change,Non-compliant,2968.872762630097
2013-04-30,Amendment,Non-compliant,3353.166380361239
2013-05-01,Amendment,Compliant,3150.9260411746145
2013-05-02,No change,Compliant,4618.37170141055
2013-05-03,Amendment,Compliant,4542.226990216491
2013-05-04,New Regulation,Compliant,4869.428260445918
2013-05-05,Amendment,Non-compliant,3503.426027031452
2013-05-06,No change,Compliant,4873.613585565581
2013-05-07,No change,Compliant,4246.15100014359
2013-05-08,New Regulation,Non-compliant,1718.7446315298168
2013-05-09,No change,Non-compliant,2423.460512980837
2013-05-10,Amendment,Non-compliant,1572.765989850544
2013-05-11,New Regulation,Compliant,518.8872237375434
2013-05-12,New Regulation,Non-compliant,1346.2193891610887
